model,condition,grouping,group,contributing_jobs,total_samples,mean_n_per_job,tier3_accuracy_mean,tier3_accuracy_sd,tier3_macro_f1_mean,tier3_macro_f1_sd,node_accuracy_mean,node_accuracy_sd
M2-Direct-RealOrder,normal,history_length,3-5,12,684,57.0,0.8265664160401003,0.1192403668542811,0.8215570075656342,0.1491254146804957,0.8280284043441938,0.11885115010508283
M2-Direct-RealOrder,normal,history_length,6-10,12,1140,95.0,0.8300000000000001,0.12108492144657977,0.7988783315160153,0.11819022300772021,0.8259482038429407,0.12572862285366485
M2-Direct-RealOrder,normal,stage,1,12,528,44.0,0.8213383838383838,0.10231166146639843,0.8584530368621278,0.08050564362203042,0.8213383838383838,0.10231166146639843
M2-Direct-RealOrder,normal,stage,2,12,3192,266.0,0.852780761427378,0.08124991983472014,0.8639506006353694,0.06904129793281889,0.8510800811552691,0.08230335650067903
M2-Direct-RealOrder,normal,stage,3,12,603,50.25,0.8716993464052288,0.04535200006524628,0.8996183446183447,0.04052319956830184,0.8716993464052288,0.04535200006524628
M2-Direct-RealOrder,normal,active_tail,False,12,1149,95.75,0.8484491614049955,0.04781896655804823,0.8448870977560624,0.04977966968388359,0.8484491614049955,0.04781896655804823
M2-Direct-RealOrder,normal,active_tail,True,12,3174,264.5,0.8513357392106063,0.08868880294616367,0.8762660535762151,0.05910416949382057,0.8496175261521871,0.08973596817450452
M2-Direct-RealOrder,normal,tail_reason,active_incomplete_atomic_prefix,12,3174,264.5,0.8513357392106063,0.08868880294616367,0.8762660535762151,0.05910416949382057,0.8496175261521871,0.08973596817450452
M2-Direct-RealOrder,normal,tail_reason,atomic_sequence_complete,12,252,21.0,0.8956993934110639,0.06748344954689793,0.8151665941348482,0.08947208385920692,0.8956993934110639,0.06748344954689793
M2-Direct-RealOrder,normal,tail_reason,empty_history,12,228,19.0,0.8402255639097743,0.14679461759894422,0.7708184893063925,0.23911900711017056,0.8402255639097743,0.14679461759894422
M2-Direct-RealOrder,normal,tail_reason,latest_node_not_atomic,12,648,54.0,0.8333182690325547,0.044973700284545726,0.80803092575414,0.0574968327682851,0.8333182690325547,0.044973700284545726
M2-Direct-RealOrder,fault,exact_full_prefix,False,12,552,46.0,0.8077824463118581,0.10542305481434429,0.769276723742883,0.1103278369656779,0.7988141923436042,0.11475695580396084
M2-Direct-RealOrder,fault,exact_full_prefix,True,12,810,67.5,0.8299888188847433,0.1276533601604699,0.8028581791681826,0.11854943887709914,0.8290309644786129,0.1300459418495059
M2-Direct-RealOrder,fault,local_suffix_1,insufficient,12,81,6.75,0.8018518518518518,0.3088603043722353,0.8069800569800569,0.3056734322719771,0.8018518518518518,0.3088603043722353
M2-Direct-RealOrder,fault,local_suffix_1,seen,12,1281,106.75,0.8156948155413971,0.11806556992418189,0.7797865531240887,0.10585353041868924,0.81112975825086,0.12282565005198237
M2-Direct-RealOrder,fault,local_suffix_2,insufficient,12,162,13.5,0.7833333333333333,0.17981784023780562,0.8328455353126406,0.1429036561701748,0.7833333333333333,0.17981784023780562
M2-Direct-RealOrder,fault,local_suffix_2,seen,12,1155,96.25,0.8215041469148027,0.12204472206122043,0.7871371566782438,0.11326230431241996,0.8163809540491562,0.12748687103708464
M2-Direct-RealOrder,fault,local_suffix_2,unseen,12,45,3.75,0.736111111111111,0.19080284040266257,0.7444444444444445,0.21885068630375118,0.736111111111111,0.19080284040266257
M2-Direct-RealOrder,fault,local_prefix_3,insufficient,12,243,20.25,0.8222222222222223,0.1688558063173966,0.8736166002613371,0.10521395109494416,0.8222222222222223,0.1688558063173966
M2-Direct-RealOrder,fault,local_prefix_3,seen,12,1029,85.75,0.8162062163927836,0.1428580681646689,0.7803536052149389,0.1120336010239145,0.8103233830845772,0.14883696413785508
M2-Direct-RealOrder,fault,local_prefix_3,unseen,12,90,7.5,0.773088023088023,0.17212112831783377,0.7809920634920635,0.1690643736319748,0.773088023088023,0.17212112831783377
M2-Direct-RealOrder,fault,history_length,0,12,81,6.75,0.8018518518518518,0.3088603043722353,0.8069800569800569,0.3056734322719771,0.8018518518518518,0.3088603043722353
M2-Direct-RealOrder,fault,history_length,1-2,12,162,13.5,0.8324074074074074,0.20929352241768195,0.9222552910052909,0.10034618756357346,0.8324074074074074,0.20929352241768195
M2-Direct-RealOrder,fault,history_length,11-20,12,417,34.75,0.8099239521653314,0.10476417576027557,0.7848391061736927,0.1189166452777128,0.8026989241069701,0.11445975803639266
M2-Direct-RealOrder,fault,history_length,21+,12,114,9.5,0.8196969696969697,0.23721542891364783,0.8195767195767196,0.19399507320480908,0.8121212121212121,0.23554676642598862
M2-Direct-RealOrder,fault,history_length,3-5,12,243,20.25,0.7987654320987655,0.25857212131486706,0.8139745670995672,0.227340512707976,0.8018518518518518,0.25365024382069506
M2-Direct-RealOrder,fault,history_length,6-10,12,345,28.75,0.8183333333333334,0.12833431719418226,0.8135879629629629,0.13575543714465121,0.8127777777777778,0.1329223463844593
M2-Direct-RealOrder,fault,stage,1,12,198,16.5,0.8333333333333334,0.09362339100807951,0.8388888888888889,0.09028096438794736,0.8333333333333334,0.09362339100807951
M2-Direct-RealOrder,fault,stage,2,12,999,83.25,0.8105809672658815,0.1344649896837034,0.7891098604472276,0.12499695423199843,0.8047269868777396,0.13918463173631573
M2-Direct-RealOrder,fault,stage,3,12,165,13.75,0.8145833333333333,0.13213247879456408,0.8167438271604938,0.1397155300776876,0.8145833333333333,0.13213247879456408
M2-Direct-RealOrder,fault,active_tail,False,12,591,49.25,0.8281237307896583,0.05374149934422821,0.8022479154832096,0.09371326470405589,0.8266617424855647,0.05611600354620949
M2-Direct-RealOrder,fault,active_tail,True,12,771,64.25,0.8083734429732731,0.1592588803534477,0.8326078048565274,0.13402532392298608,0.8018640839188108,0.16351753117710596
M2-Direct-RealOrder,fault,tail_reason,active_incomplete_atomic_prefix,12,771,64.25,0.8083734429732731,0.1592588803534477,0.8326078048565274,0.13402532392298608,0.8018640839188108,0.16351753117710596
M2-Direct-RealOrder,fault,tail_reason,atomic_sequence_complete,12,63,5.25,0.7916666666666666,0.218321188651357,0.7685185185185185,0.23310875836952613,0.7916666666666666,0.218321188651357
M2-Direct-RealOrder,fault,tail_reason,empty_history,12,81,6.75,0.8018518518518518,0.3088603043722353,0.8069800569800569,0.3056734322719771,0.8018518518518518,0.3088603043722353
M2-Direct-RealOrder,fault,tail_reason,latest_node_not_atomic,12,216,18.0,0.7799667874396136,0.0684680704385525,0.7872008547008548,0.08040462861505439,0.7799667874396136,0.0684680704385525
M2-Direct-RealOrder,fault,tail_reason,observed_atomic_nodes_not_prefix,12,69,5.75,0.96875,0.07769769506350763,0.9898504273504273,0.025561989689319175,0.96875,0.07769769506350763
M2-Direct-RealOrder,fault,tail_reason,repeated_node_fallback,12,162,13.5,0.8209876543209876,0.13291491899356916,0.8049174783549784,0.14389404863450128,0.8117283950617283,0.15510463209380004
M2-Direct-RealOrder,all,exact_full_prefix,False,12,2007,167.25,0.821606583593751,0.05877690107390316,0.7881986175003609,0.07491562752062404,0.8181180838332393,0.060135410547650675
M2-Direct-RealOrder,all,exact_full_prefix,True,12,3678,306.5,0.8477450469238791,0.07808958284544489,0.834579865171393,0.06395465421502654,0.8462504344803614,0.07957648681325775
M2-Direct-RealOrder,all,local_suffix_1,insufficient,12,309,25.75,0.8195833333333334,0.15443302134196585,0.7642706453478781,0.22829725757636027,0.8195833333333334,0.15443302134196585
M2-Direct-RealOrder,all,local_suffix_1,seen,12,5376,448.0,0.8398776859923945,0.08133584776856514,0.8201517286696615,0.05858247015363633,0.837597060096208,0.08269835210819508
M2-Direct-RealOrder,all,local_suffix_2,insufficient,12,618,51.5,0.8386111111111111,0.06851355883405665,0.8295091719982998,0.10133609635758525,0.8386111111111111,0.06851355883405665
M2-Direct-RealOrder,all,local_suffix_2,seen,12,4875,406.25,0.8430717329206052,0.08051428941592859,0.8225760869666715,0.05878496465912131,0.8405478428247704,0.08222018246173658
M2-Direct-RealOrder,all,local_suffix_2,unseen,12,192,16.0,0.7403846153846154,0.07363438121309476,0.7561389228055894,0.08424908529175837,0.7403846153846154,0.07363438121309476
M2-Direct-RealOrder,all,local_prefix_3,insufficient,12,927,77.25,0.8671759259259259,0.06300395402647711,0.8588499572816416,0.0787348698038909,0.8671759259259259,0.06300395402647711
M2-Direct-RealOrder,all,local_prefix_3,seen,12,4356,363.0,0.838476617923137,0.08905900267651123,0.8111889221698858,0.071892440548142,0.8356249397171002,0.09104961470597148
M2-Direct-RealOrder,all,local_prefix_3,unseen,12,402,33.5,0.7833234869158398,0.07421599585629675,0.7747585978835979,0.10685374715512475,0.7833234869158398,0.07421599585629675
